Town Num,TOWN,2010 Population
1,Andover,3303
2,Ansonia,19249
3,Ashford,4317
4,Avon,18098
5,Barkhamsted,3799
6,Beacon Falls,6049
7,Berlin,19866
8,Bethany,5563
9,Bethel,18584
10,Bethlehem,3607
11,Bloomfield,20486
12,Bolton,4980
13,Bozrah,2627
14,Branford,28026
15,Bridgeport,144229
16,Bridgewater,1727
17,Bristol,60477
18,Brookfield,16452
19,Brooklyn,8210
20,Burlington,9301
21,Canaan,1234
22,Canterbury,5132
23,Canton,10292
24,Chaplin,2305
25,Cheshire,29261
26,Chester,3994
27,Clinton,13260
28,Colchester,16068
29,Colebrook,1485
30,Columbia,5485
31,Cornwall,1420
32,Coventry,12435
33,Cromwell,14005
34,Danbury,80893
35,Darien,20732
36,Deep River,4629
37,Derby,12902
38,Durham,7388
40,East Granby,5148
41,East Haddam,9126
42,East Hampton,12959
43,East Hartford,51252
44,East Haven,29257
45,East Lyme,19159
47,East Windsor,11162
39,Eastford,1749
46,Easton,7490
48,Ellington,15602
49,Enfield,44654
50,Essex,6683
51,Fairfield,59404
52,Farmington,25340
53,Franklin,1922
54,Glastonbury,34427
55,Goshen,2976
56,Granby,11282
57,Greenwich,61171
58,Griswold,11951
59,Groton,40115
60,Guilford,22375
61,Haddam,8346
62,Hamden,60960
63,Hampton,1863
64,Hartford,124775
65,Hartland,2114
66,Harwinton,5642
67,Hebron,9686
68,Kent,2979
69,Killingly,17370
70,Killingworth,6525
71,Lebanon,7308
72,Ledyard,15051
73,Lisbon,4338
74,Litchfield,8466
75,Lyme,2406
76,Madison,18269
77,Manchester,58241
78,Mansfield,26543
79,Marlborough,6404
80,Meriden,60868
81,Middlebury,7575
82,Middlefield,4425
83,Middletown,47648
84,Milford,52759
85,Monroe,19479
86,Montville,19571
87,Morris,2388
88,Naugatuck,31862
89,New Britain,73206
90,New Canaan,19738
91,New Fairfield,13881
92,New Hartford,6970
93,New Haven,129779
95,New London,27620
96,New Milford,28142
94,Newington,30562
97,Newtown,27560
98,Norfolk,1709
99,North Branford,14407
100,North Canaan,3315
101,North Haven,24093
102,North Stonington,5297
103,Norwalk,85603
104,Norwich,40493
105,Old Lyme,7603
106,Old Saybrook,10242
107,Orange,13956
108,Oxford,12683
109,Plainfield,15405
110,Plainville,17716
111,Plymouth,12243
112,Pomfret,4247
113,Portland,9508
114,Preston,4726
115,Prospect,9405
116,Putnam,9584
117,Redding,9158
118,Ridgefield,24638
119,Rocky Hill,19709
120,Roxbury,2262
121,Salem,4151
122,Salisbury,3741
123,Scotland,1726
124,Seymour,16540
125,Sharon,2782
126,Shelton,39559
127,Sherman,3581
128,Simsbury,23511
129,Somers,11444
132,South Windsor,25709
130,Southbury,19904
131,Southington,43069
133,Sprague,2984
134,Stafford,12087
135,Stamford,122643
136,Sterling,3830
137,Stonington,18545
138,Stratford,51384
139,Suffield,15735
140,Thomaston,7887
141,Thompson,9458
142,Tolland,15052
143,Torrington,36383
144,Trumbull,36018
145,Union,854
146,Vernon,29179
147,Voluntown,2603
148,Wallingford,45135
149,Warren,1461
150,Washington,3578
151,Waterbury,110366
152,Waterford,19517
153,Watertown,22514
155,West Hartford,63268
156,West Haven,55564
154,Westbrook,6938
157,Weston,10179
158,Westport,26391
159,Wethersfield,26668
160,Willington,6041
161,Wilton,18062
162,Winchester,11242
163,Windham,25268
164,Windsor,29044
165,Windsor Locks,12498
166,Wolcott,16680
167,Woodbridge,8990
168,Woodbury,9975
169,Woodstock,7964
